Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
chr1,-,16872612,16872613,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16872620,16872621,66,TRE-TTC3-1,brain,71,60.0
chr1,-,16872621,16872622,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16872623,16872624,66,TRE-TTC3-1,brain,71,60.0
chr1,-,16872624,16872625,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16872625,16872626,100,TRE-TTC3-1,brain,71,60.0
chr1,-,16872626,16872627,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16872630,16872631,100,TRE-TTC3-1,brain,71,60.0
chr1,-,16872631,16872632,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16872636,16872637,66,TRE-TTC3-1,brain,71,60.0
chr1,-,16872637,16872638,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16872643,16872644,100,TRE-TTC3-1,brain,71,60.0
chr1,-,16872644,16872645,100,TRE-TTC3-1,brain,71,60.0
chr1,+,16889686,16889687,95,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889687,16889688,90,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,16889692,16889693,90,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889693,16889694,88,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,16889699,16889700,100,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889700,16889701,88,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,16889701,16889702,95,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889702,16889703,88,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,16889705,16889706,95,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889706,16889707,87,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,16889716,16889717,95,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889717,16889718,85,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,16889732,16889733,92,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889733,16889734,71,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,16889748,16889749,71,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,-,16889749,16889750,40,tRNA-Asn-GTT-4-1,brain,73,60.0
chr1,+,18336566,18336567,25,Random125,brain,1247,40.0
chr1,-,18336567,18336568,0,Random125,brain,1247,40.0
chr1,+,18336594,18336595,100,Random125,brain,1247,40.0
chr1,-,18336595,18336596,50,Random125,brain,1247,40.0
chr1,+,18336831,18336832,35,Random125,brain,1247,40.0
chr1,-,18336832,18336833,14,Random125,brain,1247,40.0
chr1,+,18336854,18336855,53,Random125,brain,1247,40.0
chr1,-,18336855,18336856,37,Random125,brain,1247,40.0
chr1,+,18336856,18336857,66,Random125,brain,1247,40.0
chr1,-,18336857,18336858,57,Random125,brain,1247,40.0
chr1,+,18336985,18336986,33,Random125,brain,1247,40.0
chr1,-,18336986,18336987,0,Random125,brain,1247,40.0
chr1,+,18337205,18337206,14,Random125,brain,1247,40.0
chr1,-,18337206,18337207,0,Random125,brain,1247,40.0
chr1,+,18337362,18337363,0,Random125,brain,1247,40.0
chr1,-,18337363,18337364,0,Random125,brain,1247,40.0
chr1,+,18337576,18337577,0,Random125,brain,1247,40.0
chr1,-,18337577,18337578,75,Random125,brain,1247,40.0
chr1,+,18337581,18337582,0,Random125,brain,1247,40.0
chr1,-,18337582,18337583,75,Random125,brain,1247,40.0
chr1,+,18337676,18337677,100,Random125,brain,1247,40.0
chr1,-,18337677,18337678,12,Random125,brain,1247,40.0
chr1,+,23399970,23399971,71,Random6,brain,338,40.0
chr1,-,23399971,23399972,50,Random6,brain,338,40.0
chr1,+,23400062,23400063,90,Random6,brain,338,40.0
chr1,-,23400063,23400064,100,Random6,brain,338,40.0
chr1,-,28576379,28576380,85,Random878,brain,296,60.0
chr1,-,28576387,28576388,100,Random878,brain,296,60.0
chr1,-,28576404,28576405,85,Random878,brain,296,60.0
chr1,-,28576411,28576412,83,Random878,brain,296,60.0
chr1,-,28576421,28576422,85,Random878,brain,296,60.0
chr1,-,28576443,28576444,100,Random878,brain,296,60.0
chr1,-,28576475,28576476,100,Random878,brain,296,60.0
chr1,-,28576507,28576508,85,Random878,brain,296,60.0
chr1,-,28576538,28576539,100,Random878,brain,296,60.0
chr1,+,28576595,28576596,100,Random878,brain,296,60.0
chr1,-,28576596,28576597,100,Random878,brain,296,60.0
chr1,+,29773196,29773197,0,Random814,brain,884,40.0
chr1,-,29773197,29773198,15,Random814,brain,884,40.0
chr1,+,29773477,29773478,20,Random814,brain,884,40.0
chr1,-,29773478,29773479,19,Random814,brain,884,40.0
chr1,+,29773935,29773936,2,Random814,brain,884,40.0
chr1,-,29773936,29773937,3,Random814,brain,884,40.0
chr1,-,37123479,37123480,33,Random355,brain,890,60.0
chr1,-,37123498,37123499,80,Random355,brain,890,60.0
chr1,-,37123530,37123531,25,Random355,brain,890,60.0
chr1,+,37123629,37123630,0,Random355,brain,890,60.0
chr1,-,37123630,37123631,0,Random355,brain,890,60.0
chr1,+,37123884,37123885,16,Random355,brain,890,60.0
chr1,-,37123885,37123886,41,Random355,brain,890,60.0
chr1,+,44721845,44721846,30,RNU5F-1,brain,115,40.0
chr1,-,44721846,44721847,44,RNU5F-1,brain,115,40.0
chr1,+,44721865,44721866,38,RNU5F-1,brain,115,40.0
chr1,-,44721866,44721867,55,RNU5F-1,brain,115,40.0
chr1,+,44721878,44721879,18,RNU5F-1,brain,115,40.0
chr1,-,44721879,44721880,25,RNU5F-1,brain,115,40.0
chr1,+,44731100,44731101,0,RNU5D-1,brain,99,20.0
chr1,-,44731101,44731102,8,RNU5D-1,brain,99,20.0
chr1,+,44731113,44731114,0,RNU5D-1,brain,99,20.0
chr1,-,44731114,44731115,0,RNU5D-1,brain,99,20.0
chr1,+,44731133,44731134,10,RNU5D-1,brain,99,20.0
chr1,-,44731134,44731135,0,RNU5D-1,brain,99,20.0
chr1,+,44731146,44731147,6,RNU5D-1,brain,99,20.0
chr1,-,44731147,44731148,0,RNU5D-1,brain,99,20.0
chr1,+,45655579,45655580,93,Random330,brain,417,40.0
chr1,-,45655580,45655581,100,Random330,brain,417,40.0
chr1,+,45655730,45655731,91,Random330,brain,417,40.0
chr1,-,45655731,45655732,100,Random330,brain,417,40.0
chr1,+,45655803,45655804,95,Random330,brain,417,40.0
chr1,-,45655804,45655805,100,Random330,brain,417,40.0
chr1,+,45655807,45655808,91,Random330,brain,417,40.0
chr1,-,45655808,45655809,100,Random330,brain,417,40.0
chr1,+,51009071,51009072,90,Random964,brain,812,40.0
chr1,-,51009072,51009073,100,Random964,brain,812,40.0
chr1,+,51009087,51009088,100,Random964,brain,812,40.0
chr1,-,51009088,51009089,100,Random964,brain,812,40.0
chr1,+,51009264,51009265,100,Random964,brain,812,40.0
chr1,-,51009265,51009266,100,Random964,brain,812,40.0
chr1,+,53380770,53380771,100,Random308,brain,960,40.0
chr1,-,53380771,53380772,63,Random308,brain,960,40.0
chr1,+,53380855,53380856,100,Random308,brain,960,40.0
chr1,-,53380856,53380857,84,Random308,brain,960,40.0
chr1,+,53381028,53381029,0,Random308,brain,960,40.0
chr1,-,53381029,53381030,90,Random308,brain,960,40.0
chr1,+,53381218,53381219,100,Random308,brain,960,40.0
chr1,-,53381219,53381220,90,Random308,brain,960,40.0
chr1,+,53381220,53381221,100,Random308,brain,960,40.0
chr1,-,53381221,53381222,85,Random308,brain,960,40.0
chr1,+,53381240,53381241,33,Random308,brain,960,40.0
chr1,-,53381241,53381242,75,Random308,brain,960,40.0
chr1,+,53381276,53381277,100,Random308,brain,960,40.0
chr1,-,53381277,53381278,100,Random308,brain,960,40.0
chr1,+,53381408,53381409,85,Random308,brain,960,40.0
chr1,-,53381409,53381410,85,Random308,brain,960,40.0
chr1,+,53381446,53381447,90,Random308,brain,960,40.0
chr1,-,53381447,53381448,71,Random308,brain,960,40.0
chr1,+,53381496,53381497,90,Random308,brain,960,40.0
chr1,-,53381497,53381498,100,Random308,brain,960,40.0
chr1,+,53381498,53381499,100,Random308,brain,960,40.0
chr1,-,53381499,53381500,91,Random308,brain,960,40.0
chr1,+,57958876,57958877,16,Random224,brain,1298,40.0
chr1,-,57958877,57958878,28,Random224,brain,1298,40.0
chr1,+,57959470,57959471,38,Random224,brain,1298,40.0
chr1,-,57959471,57959472,50,Random224,brain,1298,40.0
chr1,+,57959770,57959771,0,Random224,brain,1298,40.0
chr1,-,57959771,57959772,5,Random224,brain,1298,40.0
chr1,+,64668049,64668050,83,Random629,brain,107,60.0
chr1,-,64668050,64668051,100,Random629,brain,107,60.0
chr1,+,64668102,64668103,83,Random629,brain,107,60.0
chr1,-,64668103,64668104,100,Random629,brain,107,60.0
chr1,+,70419261,70419262,100,Random131,brain,1330,40.0
chr1,-,70419262,70419263,90,Random131,brain,1330,40.0
chr1,+,70419271,70419272,100,Random131,brain,1330,40.0
chr1,-,70419272,70419273,90,Random131,brain,1330,40.0
chr1,+,70419508,70419509,100,Random131,brain,1330,40.0
chr1,-,70419509,70419510,92,Random131,brain,1330,40.0
chr1,+,70419595,70419596,100,Random131,brain,1330,40.0
chr1,-,70419596,70419597,100,Random131,brain,1330,40.0
chr1,+,70419987,70419988,50,Random131,brain,1330,40.0
chr1,-,70419988,70419989,94,Random131,brain,1330,40.0
chr1,+,70419990,70419991,100,Random131,brain,1330,40.0
chr1,-,70419991,70419992,90,Random131,brain,1330,40.0
chr1,-,70420055,70420056,92,Random131,brain,1330,40.0
chr1,-,70420061,70420062,92,Random131,brain,1330,40.0
chr1,-,70420078,70420079,100,Random131,brain,1330,40.0
chr1,-,70420085,70420086,100,Random131,brain,1330,40.0
chr1,-,70420095,70420096,90,Random131,brain,1330,40.0
chr1,-,70420117,70420118,100,Random131,brain,1330,40.0
chr1,-,70420149,70420150,80,Random131,brain,1330,40.0
chr1,+,70420218,70420219,100,Random131,brain,1330,40.0
chr1,-,70420219,70420220,100,Random131,brain,1330,40.0
chr1,+,70420242,70420243,100,Random131,brain,1330,40.0
chr1,-,70420243,70420244,100,Random131,brain,1330,40.0
chr1,+,70420281,70420282,100,Random131,brain,1330,40.0
chr1,-,70420282,70420283,85,Random131,brain,1330,40.0
chr1,+,70420287,70420288,100,Random131,brain,1330,40.0
chr1,-,70420288,70420289,100,Random131,brain,1330,40.0
chr1,+,70420419,70420420,80,Random131,brain,1330,40.0
chr1,+,83849019,83849020,32,Random382,brain,850,40.0
chr1,-,83849020,83849021,20,Random382,brain,850,40.0
chr1,+,83849033,83849034,42,Random382,brain,850,40.0
chr1,-,83849034,83849035,33,Random382,brain,850,40.0
chr1,+,83849106,83849107,84,Random382,brain,850,40.0
chr1,-,83849107,83849108,100,Random382,brain,850,40.0
chr1,+,83849187,83849188,65,Random382,brain,850,40.0
chr1,-,83849188,83849189,57,Random382,brain,850,40.0
chr1,+,83849329,83849330,88,Random382,brain,850,40.0
chr1,-,83849330,83849331,47,Random382,brain,850,40.0
chr1,+,83849371,83849372,72,Random382,brain,850,40.0
chr1,-,83849372,83849373,40,Random382,brain,850,40.0
chr1,+,87580339,87580340,89,Random270,brain,330,40.0
chr1,-,87580340,87580341,94,Random270,brain,330,40.0
chr1,+,87580496,87580497,88,Random270,brain,330,40.0
chr1,-,87580497,87580498,71,Random270,brain,330,40.0
chr1,+,87580530,87580531,87,Random270,brain,330,40.0
chr1,-,87580531,87580532,80,Random270,brain,330,40.0
chr1,+,89490738,89490739,66,Random961,brain,863,40.0
chr1,-,89490739,89490740,66,Random961,brain,863,40.0
chr1,+,89490751,89490752,100,Random961,brain,863,40.0
chr1,-,89490752,89490753,85,Random961,brain,863,40.0
chr1,+,89490758,89490759,100,Random961,brain,863,40.0
chr1,-,89490759,89490760,100,Random961,brain,863,40.0
chr1,+,89490816,89490817,25,Random961,brain,863,40.0
chr1,-,89490817,89490818,80,Random961,brain,863,40.0
chr1,+,89490987,89490988,14,Random961,brain,863,40.0
chr1,-,89490988,89490989,0,Random961,brain,863,40.0
chr1,+,89491001,89491002,33,Random961,brain,863,40.0
chr1,-,89491002,89491003,66,Random961,brain,863,40.0
chr1,+,89491017,89491018,83,Random961,brain,863,40.0
chr1,-,89491018,89491019,100,Random961,brain,863,40.0
chr1,+,89491040,89491041,83,Random961,brain,863,40.0
chr1,-,89491041,89491042,100,Random961,brain,863,40.0
chr1,+,89491052,89491053,100,Random961,brain,863,40.0
chr1,-,89491053,89491054,0,Random961,brain,863,40.0
chr1,+,89491065,89491066,100,Random961,brain,863,40.0
chr1,-,89491066,89491067,50,Random961,brain,863,40.0
chr1,+,89491128,89491129,100,Random961,brain,863,40.0
chr1,-,89491129,89491130,100,Random961,brain,863,40.0
chr1,+,89491137,89491138,100,Random961,brain,863,40.0
chr1,-,89491138,89491139,100,Random961,brain,863,40.0
chr1,+,89491146,89491147,100,Random961,brain,863,40.0
chr1,-,89491147,89491148,100,Random961,brain,863,40.0
chr1,+,89491148,89491149,100,Random961,brain,863,40.0
chr1,-,89491149,89491150,100,Random961,brain,863,40.0
chr1,+,89491153,89491154,75,Random961,brain,863,40.0
chr1,-,89491154,89491155,100,Random961,brain,863,40.0
chr1,+,89491163,89491164,66,Random961,brain,863,40.0
chr1,-,89491164,89491165,100,Random961,brain,863,40.0
chr1,+,89491252,89491253,75,Random961,brain,863,40.0
chr1,+,89491276,89491277,80,Random961,brain,863,40.0
chr1,+,89491287,89491288,100,Random961,brain,863,40.0
chr1,+,91770879,91770880,12,Random337,brain,293,40.0
chr1,-,91770880,91770881,33,Random337,brain,293,40.0
chr1,+,91855224,91855225,16,Random157,brain,697,40.0
chr1,-,91855225,91855226,0,Random157,brain,697,40.0
chr1,+,91855344,91855345,100,Random157,brain,697,40.0
chr1,-,91855345,91855346,50,Random157,brain,697,40.0
chr1,+,91855725,91855726,4,Random157,brain,697,40.0
chr1,-,91855726,91855727,6,Random157,brain,697,40.0
chr1,+,96985532,96985533,60,Random69,brain,1407,40.0
chr1,-,96985533,96985534,91,Random69,brain,1407,40.0
chr1,+,96985691,96985692,88,Random69,brain,1407,40.0
chr1,-,96985692,96985693,40,Random69,brain,1407,40.0
chr1,+,96986243,96986244,50,Random69,brain,1407,40.0
chr1,-,96986244,96986245,65,Random69,brain,1407,40.0
chr1,+,100758994,100758995,36,Random787,brain,1178,40.0
chr1,-,100758995,100758996,28,Random787,brain,1178,40.0
chr1,+,100759022,100759023,87,Random787,brain,1178,40.0
chr1,-,100759023,100759024,91,Random787,brain,1178,40.0
chr1,+,100759458,100759459,100,Random787,brain,1178,40.0
chr1,-,100759459,100759460,100,Random787,brain,1178,40.0
chr1,+,100759479,100759480,92,Random787,brain,1178,40.0
chr1,-,100759480,100759481,91,Random787,brain,1178,40.0
chr1,+,100759557,100759558,57,Random787,brain,1178,40.0
chr1,-,100759558,100759559,81,Random787,brain,1178,40.0
chr1,+,100759599,100759600,81,Random787,brain,1178,40.0
chr1,-,100759600,100759601,87,Random787,brain,1178,40.0
chr1,+,100759641,100759642,88,Random787,brain,1178,40.0
chr1,-,100759642,100759643,100,Random787,brain,1178,40.0
chr1,+,100759645,100759646,92,Random787,brain,1178,40.0
chr1,-,100759646,100759647,100,Random787,brain,1178,40.0
chr1,+,100759789,100759790,72,Random787,brain,1178,40.0
chr1,-,100759790,100759791,66,Random787,brain,1178,40.0
chr1,+,100759848,100759849,77,Random787,brain,1178,40.0
chr1,-,100759849,100759850,100,Random787,brain,1178,40.0
chr1,+,100759988,100759989,82,Random787,brain,1178,40.0
chr1,-,100759989,100759990,100,Random787,brain,1178,40.0
chr1,+,100760003,100760004,95,Random787,brain,1178,40.0
chr1,-,100760004,100760005,100,Random787,brain,1178,40.0
chr1,+,113796179,113796180,95,Random316,brain,1368,40.0
chr1,-,113796180,113796181,100,Random316,brain,1368,40.0
chr1,+,113796216,113796217,83,Random316,brain,1368,40.0
chr1,-,113796217,113796218,100,Random316,brain,1368,40.0
chr1,+,113796268,113796269,88,Random316,brain,1368,40.0
chr1,-,113796269,113796270,100,Random316,brain,1368,40.0
chr1,+,113796478,113796479,96,Random316,brain,1368,40.0
chr1,-,113796479,113796480,83,Random316,brain,1368,40.0
chr1,+,113796666,113796667,93,Random316,brain,1368,40.0
chr1,-,113796667,113796668,100,Random316,brain,1368,40.0
chr1,+,113796774,113796775,85,Random316,brain,1368,40.0
chr1,-,113796775,113796776,100,Random316,brain,1368,40.0
chr1,+,113796870,113796871,100,Random316,brain,1368,40.0
chr1,-,113796871,113796872,100,Random316,brain,1368,40.0
chr1,+,113796996,113796997,92,Random316,brain,1368,40.0
chr1,-,113796997,113796998,100,Random316,brain,1368,40.0
chr1,+,113797085,113797086,80,Random316,brain,1368,40.0
chr1,-,113797086,113797087,100,Random316,brain,1368,40.0
chr1,+,113797191,113797192,100,Random316,brain,1368,40.0
chr1,-,113797192,113797193,93,Random316,brain,1368,40.0
chr1,+,113797295,113797296,91,Random316,brain,1368,40.0
chr1,-,113797296,113797297,94,Random316,brain,1368,40.0
chr1,+,113797325,113797326,100,Random316,brain,1368,40.0
chr1,-,113797326,113797327,95,Random316,brain,1368,40.0
chr1,+,116989335,116989336,100,Random112,brain,253,60.0
chr1,-,116989336,116989337,80,Random112,brain,253,60.0
chr1,+,116989466,116989467,100,Random112,brain,253,60.0
chr1,-,116989467,116989468,66,Random112,brain,253,60.0
chr1,+,117213246,117213247,92,Random906,brain,171,40.0
chr1,-,117213247,117213248,100,Random906,brain,171,40.0
chr1,+,117213256,117213257,92,Random906,brain,171,40.0
chr1,-,117213257,117213258,80,Random906,brain,171,40.0
chr1,+,117213258,117213259,100,Random906,brain,171,40.0
chr1,-,117213259,117213260,100,Random906,brain,171,40.0
chr1,+,117213260,117213261,91,Random906,brain,171,40.0
chr1,-,117213261,117213262,83,Random906,brain,171,40.0
chr1,+,117213266,117213267,66,Random906,brain,171,40.0
chr1,-,117213267,117213268,100,Random906,brain,171,40.0
chr1,+,121016853,121016854,0,TRG-CCC6-1,brain,70,60.0
chr1,-,121016854,121016855,0,TRG-CCC6-1,brain,70,60.0
chr1,+,121016866,121016867,0,TRG-CCC6-1,brain,70,60.0
chr1,-,121016867,121016868,0,TRG-CCC6-1,brain,70,60.0
chr1,+,121016875,121016876,0,TRG-CCC6-1,brain,70,60.0
chr1,-,121016876,121016877,0,TRG-CCC6-1,brain,70,60.0
chr1,+,121016877,121016878,0,TRG-CCC6-1,brain,70,60.0
chr1,-,121016878,121016879,0,TRG-CCC6-1,brain,70,60.0
chr1,+,121016886,121016887,0,TRG-CCC6-1,brain,70,60.0
chr1,-,121016887,121016888,0,TRG-CCC6-1,brain,70,60.0
chr1,+,121020734,121020735,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020735,121020736,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020738,121020739,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020739,121020740,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020744,121020745,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020745,121020746,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020749,121020750,6,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020750,121020751,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020760,121020761,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020761,121020762,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020762,121020763,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020763,121020764,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020771,121020772,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020772,121020773,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020775,121020776,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020776,121020777,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,121020794,121020795,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,-,121020795,121020796,0,tRNA-Val-CAC-1-3,brain,72,50.0
chr1,+,143803999,143804000,0,TRV-CAC1-5,brain,72,60.0
chr1,-,143804000,143804001,0,TRV-CAC1-5,brain,72,60.0
chr1,+,143804009,143804010,5,TRV-CAC1-5,brain,72,60.0
chr1,-,143804010,143804011,0,TRV-CAC1-5,brain,72,60.0
chr1,+,143804014,143804015,0,TRV-CAC1-5,brain,72,60.0
chr1,-,143804015,143804016,0,TRV-CAC1-5,brain,72,60.0
