Chromosome,Strand,Start,End,Methylation_Percentage,GeneName,Tissue,Length,Median_CG_Content
chr1,+,11908259,11908260,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908263,11908264,0.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908267,11908268,10.0,RNU5E-1,epithelium,118,40.0
chr1,-,11908268,11908269,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,11908269,11908270,0.0,RNU5E-1,epithelium,118,40.0
chr1,+,16535280,16535281,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535281,16535282,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535290,16535291,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535298,16535299,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535303,16535304,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535314,16535315,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535318,16535319,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535327,16535328,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535328,16535329,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535331,16535332,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535332,16535333,12.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535333,16535334,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535335,16535336,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535338,16535339,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535340,16535341,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535341,16535342,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535343,16535344,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535347,16535348,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16535348,16535349,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,+,16535350,16535350,0.0,tRNA-Glu-TTC-4-1,epithelium,71,60.0
chr1,-,16545939,16545940,0.0,TRG1,epithelium,70,60.0
chr1,+,16545940,16545941,0.0,TRG1,epithelium,70,60.0
chr1,-,16545944,16545945,0.0,TRG1,epithelium,70,60.0
chr1,-,16545945,16545946,0.0,TRG1,epithelium,70,60.0
chr1,-,16545950,16545951,0.0,TRG1,epithelium,70,60.0
chr1,-,16545955,16545956,10.0,TRG1,epithelium,70,60.0
chr1,+,16545958,16545959,0.0,TRG1,epithelium,70,60.0
chr1,-,16545963,16545964,0.0,TRG1,epithelium,70,60.0
chr1,+,16545965,16545966,0.0,TRG1,epithelium,70,60.0
chr1,+,16545967,16545968,0.0,TRG1,epithelium,70,60.0
chr1,-,16545974,16545975,0.0,TRG1,epithelium,70,60.0
chr1,-,16545975,16545976,0.0,TRG1,epithelium,70,60.0
chr1,-,16545976,16545977,0.0,TRG1,epithelium,70,60.0
chr1,-,16545978,16545979,0.0,TRG1,epithelium,70,60.0
chr1,-,16545979,16545980,0.0,TRG1,epithelium,70,60.0
chr1,-,16545983,16545984,0.0,TRG1,epithelium,70,60.0
chr1,+,16545988,16545989,6.0,TRG1,epithelium,70,60.0
chr1,+,16545991,16545992,0.0,TRG1,epithelium,70,60.0
chr1,+,16545992,16545993,0.0,TRG1,epithelium,70,60.0
chr1,+,16545999,16546000,0.0,TRG1,epithelium,70,60.0
chr1,+,16546000,16546001,5.0,TRG1,epithelium,70,60.0
chr1,+,16546002,16546003,0.0,TRG1,epithelium,70,60.0
chr1,+,16546003,16546004,5.0,TRG1,epithelium,70,60.0
chr1,-,16546007,16546008,0.0,TRG1,epithelium,70,60.0
chr1,+,16546008,16546009,0.0,TRG1,epithelium,70,60.0
chr1,+,16546009,16546009,0.0,TRG1,epithelium,70,60.0
chr1,-,16678271,16678272,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678276,16678277,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678277,16678278,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678282,16678283,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678287,16678288,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678290,16678291,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678295,16678296,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678297,16678298,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678299,16678300,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678303,16678304,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678306,16678307,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678307,16678308,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678308,16678309,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678310,16678311,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678311,16678312,25.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16678315,16678316,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678320,16678321,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678323,16678324,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678324,16678325,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678326,16678327,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678331,16678332,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678332,16678333,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678334,16678335,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678335,16678336,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678340,16678341,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,+,16678341,16678341,0.0,tRNA-Gly-CCC-4-1,epithelium,70,60.0
chr1,-,16727285,16727285,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727285,16727286,3.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727286,16727287,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727289,16727290,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727290,16727291,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727292,16727293,2.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727293,16727294,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727295,16727296,2.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727300,16727301,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727301,16727302,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727304,16727305,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727309,16727310,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727313,16727314,3.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727314,16727315,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727316,16727317,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727317,16727318,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727318,16727319,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727323,16727324,12.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727324,16727325,2.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727325,16727326,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727327,16727328,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727329,16727330,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727334,16727335,14.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727337,16727338,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727342,16727343,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727347,16727348,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16727348,16727349,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,-,16727352,16727353,0.0,TRG-CCC5-1,epithelium,70,60.0
chr1,+,16872583,16872584,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872584,16872585,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872588,16872589,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872590,16872591,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872591,16872592,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872593,16872594,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872596,16872597,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872598,16872599,11.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872599,16872600,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872600,16872601,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872603,16872604,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872604,16872605,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872613,16872614,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872617,16872618,20.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872628,16872629,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872633,16872634,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872641,16872642,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,+,16872646,16872647,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872650,16872651,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16872651,16872652,0.0,TRE-TTC3-1,epithelium,71,60.0
chr1,-,16889677,16889677,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889678,16889679,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889684,16889685,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889685,16889686,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889688,16889689,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889698,16889699,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889721,16889722,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889725,16889726,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889726,16889727,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889728,16889729,5.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889729,16889730,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889735,16889736,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889736,16889737,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889737,16889738,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889738,16889739,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889740,16889741,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889741,16889742,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889745,16889746,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,-,16889746,16889747,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,16889750,16889750,0.0,tRNA-Asn-GTT-4-1,epithelium,73,60.0
chr1,+,44721787,44721788,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721788,44721789,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721791,44721792,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721792,44721793,9.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721793,44721794,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721796,44721797,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721797,44721798,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721798,44721799,5.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721801,44721802,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721803,44721804,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721806,44721807,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721818,44721819,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721819,44721820,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721825,44721826,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721827,44721828,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721831,44721832,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721834,44721835,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721840,44721841,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721842,44721843,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721843,44721844,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721852,44721853,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721857,44721858,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721863,44721864,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721864,44721865,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721870,44721871,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721884,44721885,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721887,44721888,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721889,44721890,0.0,RNU5F-1,epithelium,115,40.0
chr1,+,44721893,44721894,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44721898,44721899,0.0,RNU5F-1,epithelium,115,40.0
chr1,-,44731069,44731070,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731070,44731071,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731071,44731072,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731072,44731073,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731075,44731076,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731085,44731086,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731086,44731087,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731089,44731090,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731093,44731094,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731095,44731096,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731106,44731107,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731108,44731109,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731110,44731111,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731111,44731112,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731120,44731121,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731125,44731126,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731131,44731132,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731132,44731133,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731138,44731139,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731152,44731153,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731155,44731156,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731157,44731158,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731161,44731162,0.0,RNU5D-1,epithelium,99,20.0
chr1,-,44731166,44731167,0.0,RNU5D-1,epithelium,99,20.0
chr1,+,44731167,44731168,5.0,RNU5D-1,epithelium,99,20.0
chr1,+,121016847,121016848,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016850,121016851,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016856,121016857,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016861,121016862,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016864,121016865,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016869,121016870,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016871,121016872,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016873,121016874,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016880,121016881,9.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016881,121016882,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016882,121016883,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016884,121016885,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016885,121016886,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016889,121016890,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016894,121016895,4.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016897,121016898,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016898,121016899,4.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016905,121016906,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016906,121016907,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016908,121016909,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121016913,121016914,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016914,121016915,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,+,121016915,121016915,0.0,TRG-CCC6-1,epithelium,70,60.0
chr1,-,121020729,121020730,13.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020736,121020737,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,-,121020752,121020753,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,-,121020753,121020754,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020755,121020756,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020756,121020757,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,-,121020765,121020766,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,-,121020767,121020768,6.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,-,121020769,121020770,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,-,121020770,121020771,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,-,121020778,121020779,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020783,121020784,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020784,121020785,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020786,121020787,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020789,121020790,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020791,121020792,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020800,121020801,0.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,121020801,121020801,5.0,tRNA-Val-CAC-1-3,epithelium,72,50.0
chr1,+,143804001,143804002,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804002,143804003,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,-,143804017,143804018,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,-,143804018,143804019,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804020,143804021,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804021,143804022,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,-,143804030,143804031,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,-,143804032,143804033,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,-,143804034,143804035,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,-,143804035,143804036,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,-,143804043,143804044,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804048,143804049,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804049,143804050,5.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804051,143804052,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804054,143804055,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804056,143804057,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804065,143804066,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,143804066,143804066,0.0,TRV-CAC1-5,epithelium,72,60.0
chr1,+,144419268,144419269,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419274,144419275,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419275,144419276,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419278,144419279,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419288,144419289,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419291,144419292,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419311,144419312,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419312,144419313,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419315,144419316,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419316,144419317,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419318,144419319,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,-,144419319,144419320,100.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419326,144419327,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419327,144419328,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419328,144419329,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419330,144419331,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419331,144419332,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144419340,144419340,0.0,tRNA-Asn-GTT-3-2,epithelium,73,60.0
chr1,+,144567517,144567518,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567518,144567519,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,144567522,144567523,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,144567523,144567524,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,144567525,144567526,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,144567526,144567527,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,144567527,144567528,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567528,144567529,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567534,144567535,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567535,144567536,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567537,144567538,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567538,144567539,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567541,144567542,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567542,144567543,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567565,144567566,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,144567575,144567576,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567578,144567579,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,+,144567579,144567580,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,144567585,144567586,0.0,TRN-GTT2-4,epithelium,73,60.0
chr1,-,145157157,145157157,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157165,145157166,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157167,145157168,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157170,145157171,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157172,145157173,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157173,145157174,0.0,Val-tRNA,epithelium,72,40.0
chr1,+,145157178,145157179,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157181,145157182,0.0,Val-tRNA,epithelium,72,40.0
chr1,+,145157186,145157187,0.0,Val-tRNA,epithelium,72,40.0
chr1,+,145157187,145157188,0.0,Val-tRNA,epithelium,72,40.0
chr1,+,145157189,145157190,0.0,Val-tRNA,epithelium,72,40.0
chr1,+,145157191,145157192,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157200,145157201,0.0,Val-tRNA,epithelium,72,40.0
chr1,-,145157201,145157202,0.0,Val-tRNA,epithelium,72,40.0
chr1,+,145157203,145157204,0.0,Val-tRNA,epithelium,72,40.0
chr1,+,145157204,145157205,0.0,Val-tRNA,epithelium,72,40.0
